code	country	2020_EW09	2020_EW10	2020_EW11	2020_EW12	2020_EW13	2020_EW14	2020_EW15	2020_EW16	2020_EW17	2020_EW18	2020_EW19	2020_EW20	2020_EW21	2020_EW22	2020_EW23	2020_EW24	2020_EW25	2020_EW26	2020_EW27	2020_EW28	2020_EW29	2020_EW30	2020_EW31	2020_EW32	2020_EW33	2020_EW34	2020_EW35	2020_EW36	2020_EW37	2020_EW38	2020_EW39	2020_EW40	2020_EW41	2020_EW42	2020_EW43	2020_EW44	2020_EW45	2020_EW46	2020_EW47	2020_EW48	2020_EW49	2020_EW50	2020_EW51	2020_EW52	2020_EW53	2021_EW01	2021_EW02	2021_EW03	2021_EW04	2021_EW05	2021_EW06	2021_EW07	2021_EW08	2021_EW09	2021_EW10	2021_EW11	2021_EW12
ABW	Aruba	0	0	2	3	41	18	28	4	4	0	1	0	0	0	0	0	0	0	4	0	6	8	2	388	539	486	441	453	566	466	372	242	114	116	106	103	76	69	66	109	124	87	111	132	245	481	392	303	236	258	198	247	229	213	287	355	483
AFG	Afghanistan	1	3	11	15	77	193	256	378	530	1006	1572	2361	3598	4527	5026	4552	4322	2178	2056	1694	923	747	674	346	496	402	189	191	317	278	273	105	406	438	627	657	608	1002	1468	1341	1228	1157	1452	1205	640	1874	538	621	449	322	143	107	127	133	119	134	197
AGO	Angola	0	0	0	2	3	5	9	5	1	10	8	5	13	23	4	50	38	83	87	116	225	229	248	408	307	255	417	384	400	566	771	698	876	1216	1564	1779	1530	1039	1039	674	449	625	465	523	459	548	609	602	415	280	267	170	283	273	268	373	335
AIA	Anguilla	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	0	2	1	2	0	0	1	1	1	0	0	0	3	1	0
ALB	Albania	0	0	38	38	121	136	100	115	164	77	67	77	56	133	110	232	427	439	489	552	637	629	759	879	985	1015	1004	823	1083	1041	927	964	1114	1543	2084	2017	2830	3528	4963	4594	5358	5594	4800	3213	3236	4042	4183	4225	5810	6961	7775	7075	7153	5863	4743	3720	3100
AND	Andorra	0	1	0	87	220	158	135	103	34	9	7	7	1	2	88	1	2	0	0	0	25	17	28	30	34	56	79	91	129	220	272	274	586	681	661	718	563	406	482	403	395	283	272	246	360	420	452	461	386	321	257	209	177	170	209	253	328
ARE	United Arab Emirates	8	24	40	68	315	1037	2231	2566	3511	3786	3818	5210	6077	5192	4372	3722	2543	2827	3497	3596	2258	1851	2198	1540	1802	2515	2711	4143	5378	5393	6376	7142	7373	9254	9377	8865	8403	8103	8650	8717	8774	8479	8649	8488	10749	16061	22106	24568	26285	22741	22203	22570	20419	19642	16169	14233	14431
ARG	Argentina	0	8	26	124	532	761	524	783	1022	901	1095	2029	3548	4861	5806	8275	10909	16540	17632	22133	25015	35810	38209	45268	47289	47702	64437	70567	74675	76453	79550	88334	93064	95237	102217	85588	69927	67995	61336	47193	46457	34770	42567	41098	56567	79575	77570	70213	60072	54425	44864	39072	43572	42517	45311	49714	59650
ARM	Armenia	0	1	17	142	247	363	197	281	429	596	902	1108	2019	2625	3437	3640	3704	4201	3991	3492	3070	2534	1845	1344	1310	1121	1010	1023	1026	1479	1918	2853	3811	7264	12523	14290	14436	11606	8984	8755	7365	6353	5861	4176	2449	1996	2441	1674	992	1036	1085	1212	1559	2464	3642	5228	6413
ATG	Antigua and Barbuda	0	0	1	0	6	8	6	2	1	1	0	0	0	0	1	0	0	39	4	6	2	6	9	1	1	1	0	1	0	1	2	9	4	8	5	4	3	3	5	2	3	4	4	3	4	10	18	8	23	70	139	171	128	87	149	71	89
AUS	Australia	10	38	187	821	2569	1910	753	265	126	105	140	105	70	78	67	61	141	225	757	1354	2005	2601	3492	3189	2203	1524	859	608	373	247	142	95	128	127	123	82	63	53	110	71	73	65	138	140	176	111	113	58	45	40	47	28	44	64	83	79	63
AUT	Austria	9	70	576	2159	5457	3510	2025	865	477	410	275	368	285	199	213	180	245	257	585	618	790	765	874	707	1260	1883	1923	2102	3609	4778	4740	5218	6991	8711	14895	26896	42295	51071	43671	33699	25028	19133	17387	13275	13818	14769	13440	11001	9696	9314	9781	11233	13781	15554	18194	20375	22346
AZE	Azerbaijan	0	9	6	38	129	339	537	315	244	277	528	716	844	1264	1993	2331	2668	3652	3911	3720	3612	2500	2524	1324	626	998	1069	1018	980	870	853	666	1191	2565	4696	6256	8479	9681	16469	24127	28298	29100	27704	14065	6270	4588	2901	1737	1378	956	973	978	1294	2098	3327	5798	8880
BDI	Burundi	0	0	0	0	0	3	2	0	6	4	0	0	27	21	20	2	19	66	21	0	119	51	34	10	7	17	16	15	11	2	12	28	4	19	19	30	27	15	29	25	13	34	33	25	36	63	300	253	175	104	107	159	198	118	142	122	94
