code	country_exposure	2020_EW09	2020_EW10	2020_EW11	2020_EW12	2020_EW13	2020_EW14	2020_EW15	2020_EW16	2020_EW17	2020_EW18	2020_EW19	2020_EW20	2020_EW21	2020_EW22	2020_EW23	2020_EW24	2020_EW25	2020_EW26	2020_EW27	2020_EW28	2020_EW29	2020_EW30	2020_EW31	2020_EW32	2020_EW33	2020_EW34	2020_EW35	2020_EW36	2020_EW37	2020_EW38	2020_EW39	2020_EW40	2020_EW41	2020_EW42	2020_EW43	2020_EW44	2020_EW45	2020_EW46	2020_EW47	2020_EW48	2020_EW49	2020_EW50	2020_EW51	2020_EW52	2020_EW53	2021_EW01	2021_EW02	2021_EW03	2021_EW04	2021_EW05	2021_EW06	2021_EW07	2021_EW08	2021_EW09	2021_EW10	2021_EW11	2021_EW12
ABW	Aruba	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	16	74	40	75	74	67	53	73	27	34
AFG	Afghanistan	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	1
AGO	Angola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	4	16	25	27	25	9	12	17	19	13	7	0	0
ALB	Albania	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	3	3	4	4	8	1	0	0	0	1	2	0	0
AND	Andorra	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARE	United Arab Emirates	12	0	11	9	5	16	5	14	23	61	77	337	557	6	8	100	11	96	43	17	7	0	0	1	4	9	56	7	12	20	23	62	1	14	47	21	1	0	48	35	5	2	0	21	55	4	7	10	12	16	7	3	10	6	0	5	2
ARG	Argentina	0	2	3	7	29	34	31	34	38	65	80	86	91	34	17	23	35	20	29	32	43	35	35	38	52	44	61	39	3	19	23	14	14	47	42	18	21	16	31	20	12	19	34	15	11	8	3	7	13	9	16	16	8	20	30	66	54
ARM	Armenia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	5	3	8	6	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0	12	0
ATG	Antigua and Barbuda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUS	Australia	9	38	161	645	1112	571	344	189	58	66	64	63	41	71	27	59	104	234	474	967	1593	1954	1924	1626	1116	1036	706	421	268	212	91	37	42	50	66	30	20	32	29	17	30	27	99	68	120	53	57	41	23	20	28	18	25	37	57	50	55
