code	country_exposure	2020_EW09	2020_EW10	2020_EW11	2020_EW12	2020_EW13	2020_EW14	2020_EW15	2020_EW16	2020_EW17	2020_EW18	2020_EW19	2020_EW20	2020_EW21	2020_EW22	2020_EW23	2020_EW24	2020_EW25	2020_EW26	2020_EW27	2020_EW28	2020_EW29	2020_EW30	2020_EW31	2020_EW32	2020_EW33	2020_EW34	2020_EW35	2020_EW36	2020_EW37	2020_EW38	2020_EW39	2020_EW40	2020_EW41	2020_EW42	2020_EW43	2020_EW44	2020_EW45	2020_EW46	2020_EW47	2020_EW48	2020_EW49	2020_EW50	2020_EW51	2020_EW52	2020_EW53	2021_EW01	2021_EW02	2021_EW03	2021_EW04	2021_EW05	2021_EW06	2021_EW07	2021_EW08	2021_EW09	2021_EW10	2021_EW11	2021_EW12	cumulative_proportion
ABW	Aruba	X	X	0.5	1.0	0.024390243902439025	0.0	0.0	0.0	0.0	X	0.0	X	X	X	X	X	X	X	0.0	X	0.0	0.0	0.0	0.010309278350515464	0.0	0.0	0.0022675736961451248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025510204081632654	0.052805280528052806	0.3135593220338983	0.15503875968992248	0.3787878787878788	0.29959514170040485	0.2925764192139738	0.24882629107981222	0.25435540069686413	0.07605633802816901	0.07039337474120083	0.060119370591427024
AFG	Afghanistan	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0004417936823503424	0.0003979307600477517	0.0006590509666080844	0.00023137436372049977	0	0.00048638132295719845	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001644736842105263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014492753623188406	0.0	0.0	0.006993006993006993	0.0	0.0	0.0	0.0	0.0	0.005076142131979695	0.0003730680405045301
AGO	Angola	X	X	X	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.03614457831325301	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0096	0.0	0.0	0.008714596949891068	0.029197080291970802	0.041050903119868636	0.044850498338870434	0.060240963855421686	0.03214285714285714	0.0449438202247191	0.1	0.06713780918727916	0.047619047619047616	0.026119402985074626	0.0	0.0	0.008306477236621125
ALB	Albania	X	X	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001215066828675577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003575259206292456	0.00020833333333333335	0.0	0.000927070457354759	0.0007422068283028204	0.0009562514941429596	0.0009467455621301775	0.001376936316695353	0.00014365752047119666	0.0	0.0	0.0	0.00017056114617090227	0.000421674045962471	0.0	0.0	0.00024263795990003316
AND	Andorra	X	0	X	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	X	X	X	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.46811753747142e-05
ARE	United Arab Emirates	1.0	0	0.275	0.1323529411764706	0.015873015873015872	0.015429122468659595	0.0022411474675033617	0.005455962587685113	0.006550840216462546	0.01611199154780771	0.020167627029858564	0.06468330134357006	0.09165706763205529	0.0011556240369799693	0.0018298261665141812	0.026867275658248254	0.004325599685410932	0.033958259639193494	0.012296253931941665	0.004727474972191324	0.003100088573959256	0.0	0.0	0.0006493506493506494	0.0022197558268590455	0.0035785288270377734	0.020656584286241238	0.0016895969104513638	0.002231312755671253	0.0037085110328203227	0.0036072772898368883	0.008681041725007001	0.0001356300013563	0.0015128593040847202	0.005012264050335928	0.0023688663282571912	0.00011900511722004047	0.0	0.0055491329479768784	0.004015142824366181	0.0005698655117392296	0.00023587687227267368	0.0	0.002474081055607917	0.005116755046981115	0.00024905049498785876	0.00031665611146295124	0.00040703353956366003	0.00045653414494959104	0.000703575040675432	0.0003152727108949241	0.00013291980505095258	0.0004897399480875655	0.0003054678749618165	0.0	0.00035129628328532284	0.0001385905342665096	0.004284200768110184
ARG	Argentina	X	0.25	0.11538461538461539	0.056451612903225805	0.05451127819548872	0.04467805519053877	0.05916030534351145	0.04342273307790549	0.03718199608610567	0.07214206437291898	0.0730593607305936	0.04238541153277477	0.02564825253664036	0.00699444558732771	0.0029280055115397862	0.0027794561933534743	0.003208360069667247	0.0012091898428053204	0.001644736842105263	0.001445804906700402	0.0017189686188287029	0.0009773806199385646	0.0009160145515454474	0.0008394450826190687	0.0010996214764532979	0.0009223931910611714	0.0009466610798143923	0.000552666260433347	4.017408771342484e-05	0.0002485186977620237	0.00028912633563796356	0.000158489369891548	0.00015043410985988138	0.0004935056753152661	0.0004108905563653795	0.00021030985652194232	0.00030031318374876655	0.0002353114199573498	0.0005054128081387766	0.0004237916640179688	0.0002583033773166584	0.000546448087431694	0.0007987408086076068	0.00036498126429509954	0.0001944596672971874	0.00010053408733898837	3.867474539125951e-05	9.969663737484511e-05	0.0002164069782927154	0.00016536518144235187	0.0003566333808844508	0.0004095004095004095	0.00018360414945377767	0.00047040007526401203	0.000662090883008541	0.0013275938367461881	0.0009052808046940487	0.0007152202430792882
ARM	Armenia	X	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.005962059620596206	0.003720238095238095	0.0022900763358778627	0.007136485280999108	0.005940594059405941	0.007820136852394917	0.003898635477582846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007168458781362007	0.012096774193548387	0.0	0.0	0.0	0.0	0.0	0.0	0.0022953328232593728	0.0	0.00042735042735042735
ATG	Antigua and Barbuda	X	X	0	X	0.0	0.0	0.0	0.0	0.0	0	X	X	X	X	0	X	X	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	X	0.0	X	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008904719501335708
AUS	Australia	0.9	1.0	0.8609625668449198	0.7856272838002436	0.4328532502919424	0.29895287958115185	0.45683930942895085	0.7132075471698113	0.4603174603174603	0.6285714285714286	0.45714285714285713	0.6	0.5857142857142857	0.9102564102564102	0.40298507462686567	0.9672131147540983	0.7375886524822695	1.0	0.6261558784676354	0.7141802067946824	0.7945137157107232	0.7512495194156094	0.5509736540664376	0.5098777046095955	0.5065819337267363	0.6797900262467191	0.8218859138533178	0.6924342105263158	0.7184986595174263	0.8582995951417004	0.6408450704225352	0.3894736842105263	0.328125	0.3937007874015748	0.5365853658536586	0.36585365853658536	0.31746031746031744	0.6037735849056604	0.2636363636363636	0.23943661971830985	0.410958904109589	0.4153846153846154	0.717391304347826	0.4857142857142857	0.6818181818181818	0.4774774774774775	0.504424778761062	0.7068965517241379	0.5111111111111111	0.5	0.5957446808510638	0.6428571428571429	0.5681818181818182	0.578125	0.6867469879518072	0.6329113924050633	0.873015873015873	0.5939561754349981
